perfil;rodada;dia;posicao_no_dia;id_exercicio;grupo_muscular;sob_cautela;qtd_series;qtd_repeticoes;tempo_descanso_s;objetivo;dentro_da_faixa_literatura
P1;1;1;1;51;peito;nao;4;8;90;hipertrofia;sim
P1;1;1;2;70;costas;nao;4;8;90;hipertrofia;sim
P1;1;1;3;52;peito;nao;3;10;75;hipertrofia;sim
P1;1;1;4;71;costas;nao;3;10;75;hipertrofia;sim
P1;1;1;5;60;biceps;nao;3;10;60;hipertrofia;sim
P1;1;1;6;53;peito;nao;3;12;60;hipertrofia;sim
P1;1;2;1;39;quadriceps;nao;4;8;90;hipertrofia;sim
P1;1;2;2;40;quadriceps;nao;3;10;80;hipertrofia;sim
P1;1;2;3;44;isquiotibiais;nao;3;10;75;hipertrofia;sim
P1;1;2;4;42;quadriceps;nao;3;12;60;hipertrofia;sim
P1;1;2;5;47;gluteos;nao;3;12;60;hipertrofia;sim
P1;1;2;6;49;panturrilha;nao;3;15;45;hipertrofia;nao
P1;1;3;1;57;ombro;nao;4;8;90;hipertrofia;sim
P1;1;3;2;74;costas;nao;4;10;80;hipertrofia;sim
P1;1;3;3;64;triceps;nao;3;10;75;hipertrofia;sim
P1;1;3;4;58;ombro;nao;3;12;60;hipertrofia;sim
P1;1;3;5;68;triceps;nao;3;12;60;hipertrofia;sim
P1;1;3;6;76;costas;nao;3;12;50;hipertrofia;sim
P1;2;1;1;51;peito;nao;4;8;90;hipertrofia;sim
P1;2;1;2;70;costas;nao;4;8;90;hipertrofia;sim
P1;2;1;3;53;peito;nao;3;10;75;hipertrofia;sim
P1;2;1;4;74;costas;nao;3;10;75;hipertrofia;sim
P1;2;1;5;62;biceps;nao;3;10;60;hipertrofia;sim
P1;2;1;6;63;biceps;nao;3;12;60;hipertrofia;sim
P1;2;2;1;39;quadriceps;nao;4;8;90;hipertrofia;sim
P1;2;2;2;40;quadriceps;nao;3;10;80;hipertrofia;sim
P1;2;2;3;44;isquiotibiais;nao;3;10;75;hipertrofia;sim
P1;2;2;4;47;gluteos;nao;3;12;75;hipertrofia;sim
P1;2;2;5;42;quadriceps;nao;3;12;60;hipertrofia;sim
P1;2;2;6;49;panturrilha;nao;3;12;60;hipertrofia;sim
P1;2;3;1;57;ombro;nao;4;8;90;hipertrofia;sim
P1;2;3;2;71;costas;nao;4;8;90;hipertrofia;sim
P1;2;3;3;64;triceps;nao;3;10;75;hipertrofia;sim
P1;2;3;4;58;ombro;nao;3;10;70;hipertrofia;sim
P1;2;3;5;68;triceps;nao;3;12;60;hipertrofia;sim
